algorithm,latency_ms,packet_loss_percent,run_number,handshake_time_ms,cpu_time_ms,memory_peak_mb,memory_delta_mb,bytes_transmitted,was_successful,error_msg
CRYSTALS-Kyber,0,2,41,63.8326469997992,0,25.66796875,0.03515625,7544,1,None
CRYSTALS-Kyber,0,2,42,63.9396129990928,0,25.66796875,0.03515625,7544,1,None
CRYSTALS-Kyber,0,2,43,492.841900999338,20.0000000000005,25.66796875,0.03515625,8254,1,None
CRYSTALS-Kyber,0,2,44,61.9434549989819,0,25.66796875,0.03515625,7480,1,None
CRYSTALS-Kyber,0,2,45,63.1914059995324,10,25.671875,0.03515625,7376,1,None
CRYSTALS-Kyber,0,2,46,60.9617890004301,0,25.671875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,47,79.4142790000478,9.99999999999979,25.67578125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,48,281.53683599885,10,25.67578125,0.03515625,7640,1,None
CRYSTALS-Kyber,0,2,49,61.9065710016002,0,25.67578125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,2,50,78.7084689982294,10.0000000000007,25.67578125,0.03515625,7480,1,None
ECC-P256,0,5,1,648.149876000389,19.9999999999996,25.67578125,0.03515625,7830,1,None
